,,,MÔ TẢ SẢN PHẨM,,,,,,,THÔNG TIN ĐẶT HÀNG,,,,,,THÔNG TIN NHẬP KHO,,,TRẠNG THÁI GIAO HÀNG,,,THEO DÕI TIẾN ĐỘ SẢN XUẤT,,,,,,,
STT,PHÂN LOẠI ĐH,PHÂN CẤP SP,TÊN SẢN PHẨM,HÌNH ẢNH,ART/ MÃ SP,MÀU,MÃ ĐƠN ĐẶT HÀNG,ĐƠN GIÁ,TỔNG GIÁ TRỊ,SL ĐẶT HÀNG (pcs),NHÀ MÁY,TIME LINE NHẬP KHO,TUẦN,TG GH/ KIỂM FINAL,NGÀY NHẬP KHO DỰ KIẾN,NGÀY GIAO THỰC TẾ,SL NHẬP KHO/ Thực tế,% TIẾN ĐỘ NHẬP HÀNG,TRẠNG THÁI GIAO HÀNG,TRẠNG THÁI ĐƠN HÀNG,GHI CHÚ ĐƠN HÀNG,Duyệt vải,Duyệt Bo,Trạng thái đồng bộ SX,Ngày lên chuyền,Ngày dự kiến hoàn tất,KQ FINAL,VẤN ĐỀ,Tuần
95,RESTOCK,DUY TRÌ,JAY,,PO201,KEM NHẠT,95_PO201_KEM NHẠT,121.284,97.027.200,800,TLN,Tháng 4,Tuần 3,16/04/2026,17/04/2026,17/04/2026,414,"51,75%",Đúng hạn,Hoàn thành(thiếu),HOÀN THÀNH,,,,,,,,
97,RESTOCK,CHỦ LỰC,SHORT KAKI,,PO99,ĐEN,97_PO99_ĐEN,112.000,89.600.000,800,LC,Tháng 4,Tuần 2,10/04/2026,11/04/2026,10/04/2026,800,"100,00%",Đúng hạn,Hoàn thành,,,,,,,,,
98,RESTOCK,CHỦ LỰC,SHORT KAKI,,PO99,TRẮNG,98_PO99_TRẮNG,112.000,86.240.000,770,LC,Tháng 4,Tuần 2,10/04/2026,11/04/2026,10/04/2026,706,"91,69%",Đúng hạn,Hoàn thành(thiếu),HOÀN THÀNH,,,,,,,,
99,RESTOCK,CHỦ LỰC,KAKI SD,,PO126,ĐEN,99_PO126_ĐEN,123.000,94.710.000,770,LC,Tháng 4,Tuần 2,08/04/2026,09/04/2026,08/04/2026,853,"110,78%",Đúng hạn,Hoàn thành,,,,,,,,,
100,RESTOCK,CHỦ LỰC,KAKI SD,,PO126,BE,100_PO126_BE,123.000,45.510.000,370,LC,Tháng 4,Tuần 2,08/04/2026,09/04/2026,08/04/2026,460,"124,32%",Đúng hạn,Hoàn thành,,,,,,,,,
101,RESTOCK,CHỦ LỰC,KAKI SD,,PO126,NÂU,101_PO126_NÂU,123.000,109.470.000,890,LC,Tháng 4,Tuần 4,22/04/2026,23/04/2026,22/04/2026,949,"106,63%",Đúng hạn,Hoàn thành,,,,,,,,,
102,RESTOCK,CHỦ LỰC,JEAN STRAIGHT,,PO216,XANH NHẠT,102_PO216_XANH NHẠT,180.000,52.920.000,294,LC,Tháng 4,Tuần 1,03/04/2026,04/04/2026,03/04/2026,287,"97,62%",Đúng hạn,Hoàn thành,,,,,,,,,
103,RESTOCK,CHỦ LỰC,QUẦN TÂY LƯNG CHUN,,PO86,BE,103_PO86_BE,153.000,87.669.000,573,LC,Tháng 4,Tuần 4,22/04/2026,23/04/2026,22/04/2026,560,"97,73%",Đúng hạn,Hoàn thành,,,,,,,,,
104,RESTOCK,CHỦ LỰC,SHORT KAKI,,PO99,BE ĐẬM,104_PO99_BE ĐẬM,123.120,73.872.000,600,LC,Tháng 4,Tuần 4,22/04/2026,23/04/2026,22/04/2026,600,"100,00%",Đúng hạn,Hoàn thành,,,,,,,,,
105,RESTOCK,CHỦ LỰC,QUẦN TÂY LƯNG CHUN,,PO86,"ĐEN
","105_PO86_ĐEN
",168.480,101.088.000,600,LC,Tháng 4,Tuần 4,22/04/2026,23/04/2026,22/04/2026,739,"123,17%",Đúng hạn,Hoàn thành,,,,,,,,,
106,RESTOCK,CHỦ LỰC,KAKI STRAIGHT,,PO249,BE,106_PO249_BE,194.400,97.200.000,500,LC,Tháng 4,Tuần 5,28/04/2026,29/04/2026,28/04/2026,461,"92,20%",Đúng hạn,Hoàn thành(thiếu),HOÀN THÀNH,,,,,,,,
107,RESTOCK,CHỦ LỰC,KAKI STRAIGHT,,PO249,ĐEN,107_PO249_ĐEN,194.400,97.200.000,500,LC,Tháng 4,Tuần 5,28/04/2026,29/04/2026,28/04/2026,458,"91,60%",Đúng hạn,Hoàn thành(thiếu),HOÀN THÀNH,,,,,,,,
